"filename", "language", "C#", "XML", "JSON", "ASP.NET Razor", "CSS", "Properties", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\bin\Release\net8.0\appsettings.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Anaysis Model.csproj.nuget.dgspec.json", "JSON", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 76
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Anaysis Model.csproj.nuget.g.props", "XML", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Anaysis Model.csproj.nuget.g.targets", "XML", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\AnaysisModel.csproj.nuget.dgspec.json", "JSON", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 87
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\AnaysisModel.csproj.nuget.g.props", "XML", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\AnaysisModel.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\Anaysis Model.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 9, 5, 23
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\Anaysis Model.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 40, 0, 0, 0, 8, 48
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\Anaysis Model.GlobalUsings.g.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 1, 1, 18
